id,LR,RF,KRN,GBR,ETR,Ridge,cb,Ada,GCN_canonical_ESOL,GCN_attentivefp_ESOL,GAT_canonical_ESOL,GAT_attentivefp_ESOL,Weave_canonical_ESOL,Weave_attentivefp_ESOL,MPNN_canonical_ESOL,MPNN_attentivefp_ESOL,AttentiveFP_canonical_ESOL,AttentiveFP_attentivefp_ESOL,gin_supervised_contextpred_ESOL,gin_supervised_infomax_ESOL,gin_supervised_edgepred_ESOL,gin_supervised_masking_ESOL,label
0,0.910921209,-2.808730001,0.005200016,-1.210021927,-0.655720002,0.478729786,-1.747871111,-2.942938771,-1.2211497,-2.075734,-1.9275272,-3.321176,-1.4614294,0.8071594,-1.9334273,-1.2495278,-0.6930109,-1.6080258,-2.1141822,-1.5530671,-2.1460366,-1.2717421,-0.77
1,-1.639030563,-2.756049986,-2.8980002,-2.940360633,-2.894199929,-1.685442193,-2.908449855,-3.964203992,-2.9562027,-2.080985,-3.8949804,-3.666798,-3.6650553,-3.6229315,-2.8561428,-3.2526884,-2.9816175,-2.5397828,-2.5579436,-2.5078936,-2.4717956,-2.3017435,-3.3
2,0.919446417,-1.471037496,-0.57600003,-0.752402829,-0.814099998,0.863044817,-0.949948296,-2.091291229,-1.804728,-1.6519432,-2.680379,-2.052621,-2.0057569,-2.5333736,-2.2574773,-2.636158,-1.9750398,-1.920956,-3.0894501,-3.553571,-1.872778,-1.6356363,-2.06
3,-5.8439536,-6.112019939,-5.8472,-5.925923461,-5.923599968,-5.857255496,-6.167929431,-4.240878693,-7.345523,-6.3571577,-7.7311683,-8.605565,-7.4371996,-8.059922,-7.88757,-6.8574314,-8.042734,-7.334529,-8.824147,-8.557795,-7.7956715,-7.268929,-7.87
4,-2.79841941,-1.214619981,-1.188,-2.061344977,-1.813399953,-2.785211501,-2.160074521,-2.632230087,-1.0275269,-1.2107091,-1.5298502,-1.1433263,-0.81165963,-1.5889828,-0.24369852,-1.235509,-1.2613136,-0.005362034,-0.871366,-0.9099963,-2.119808,-0.82825667,-1.33
5,-4.222780573,-2.514859987,-3.025,-2.812819693,-5.732359943,-3.990117362,-2.768605467,-2.711462612,-2.748658,-2.130524,-2.8337274,-2.2305987,-1.7553297,-2.8987515,-1.923053,-2.5018866,-1.440258,-0.9374069,-1.5795391,-1.6280482,-3.5593855,-1.6965452,-1.5
6,-5.984860416,-6.893199937,-5.192,-4.977536779,-7.389999866,-5.950405118,-7.204448887,-5.16665029,-6.5216155,-5.0021224,-8.288085,-7.726774,-7.645472,-7.048428,-7.0751743,-7.967908,-7.606142,-6.785986,-7.623512,-7.489663,-6.3787427,-8.10332,-7.32
7,-5.248820232,-4.518329979,-4.3946,-4.799720733,-4.929099932,-5.275602121,-4.388217977,-4.639805548,-3.6930819,-3.0469863,-4.6302805,-5.754776,-5.001424,-4.745646,-4.5125065,-4.828051,-4.14592,-3.9894693,-2.863474,-4.183358,-3.5550077,-3.8470628,-5.03
8,-6.709568064,-5.667550008,-6.4444,-5.298376133,-6.124359908,-6.463101235,-6.30145836,-4.151256558,-5.5206413,-3.8240008,-6.1599026,-6.1988974,-7.4819536,-5.697503,-7.1122823,-5.7835464,-5.8870945,-5.4200544,-4.9742827,-4.5285306,-5.598706,-6.4444327,-6.29
9,-5.493938788,-3.070909998,-1.192,-2.967609324,-2.685160038,-5.297000116,-3.58211586,-3.080883585,-5.2307944,-5.166944,-6.9434333,-5.2076044,-5.6308794,-7.5588593,-6.2278833,-5.2856607,-5.054682,-4.803789,-4.8798265,-4.1097884,-4.844623,-4.7778068,-4.42
10,-0.401363408,-2.757980033,-2.038,-2.098251594,-2.424549997,-0.470578969,-1.931078132,-3.4234672,0.32676786,-0.56939214,-1.3247061,-0.70349556,0.5567287,-1.0669826,0.14655429,-0.27820387,0.25111175,0.37826872,0.021346524,-0.4124966,-0.8622102,-1.6252639,1.07
11,-4.240010198,-3.718219993,-5.1980004,-4.545020026,-3.110199997,-4.346024088,-4.703596767,-4.556692975,-3.8900752,-3.1534042,-4.664748,-4.7739625,-5.197279,-3.7790906,-4.250622,-4.6845517,-4.2711906,-3.9896421,-4.1695843,-4.27798,-5.5288386,-4.162289,-4.14
12,-3.413621511,-2.143340016,-3.204,-2.092157842,-2.649000022,-3.318941257,-1.998444954,-2.711462612,-2.0568647,-1.6565151,-2.527371,-2.7689166,-2.1789029,-1.6895356,-2.0919847,-2.4349742,-2.5966394,-2.604913,-2.7644608,-2.1818001,-2.0841377,-2.9975402,-2.68
13,-1.391241569,-2.325440014,-3.0642,-2.450924335,-2.332350023,-1.370472511,-2.073282103,-2.632230087,-2.3816931,-1.9834745,-3.849454,-3.393282,-1.5006135,-3.2222598,-1.7212043,-1.5133544,-2.6538258,-2.5946057,-2.4346733,-2.661134,-2.211404,-2.616526,-2.64
14,-3.664966126,-6.309528468,-6.0232,-4.373095696,-6.342285599,-3.655076973,-5.06466889,-4.698192394,-5.597524,-4.769991,-7.6895337,-7.1901503,-6.534026,-5.0980535,-7.3048377,-7.116948,-7.5474844,-7.2452974,-7.4369936,-7.117152,-2.494963,-5.7509427,-7.96
15,-1.683619153,-1.595999993,-1.95,-2.009357432,-1.595700028,-1.710266083,-1.649154504,-2.544015615,-1.541064,-1.4027318,-1.1482177,-3.06421,-1.0874176,-1.2215339,-1.0544628,-1.8661337,-1.6116447,-1.2371454,-2.1454,-1.6438657,-1.8105526,-1.802638,-1.41
16,-1.334366374,-1.127686423,-0.48400003,-0.722577617,-3.279600015,-1.314298969,-0.995094913,-2.091291229,-0.1298184,-0.30835307,-1.95833,-1.746719,-0.09334801,-0.827644,0.040448852,-0.26464164,-0.35363925,-0.4333856,-0.09182256,-0.968702,-0.79723877,-0.6573726,-0.47
17,-3.632909754,-3.271410031,-2.869,-3.705192185,-2.277299997,-3.568829408,-3.134171741,-4.132619201,-1.0833808,-0.8576771,-2.3323011,-2.0945735,-1.3875612,-1.9525607,-1.6753464,-1.9623798,-1.2282763,-1.0139571,-0.9706093,-1.4619849,-2.686961,-1.3824706,-1
18,-5.067469267,-4.374389963,-3.8195999,-4.797135218,-3.916059971,-5.141762983,-5.634060375,-3.839137259,-3.8198886,-3.6490512,-5.378126,-3.8648453,-3.9383206,-4.430525,-3.5267005,-3.9914026,-4.6071935,-3.673201,-2.6488156,-3.8444924,-2.9642508,-3.83232,-3.64
